Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
53	0.5200	14.084799	-375.733765	1012.269348	70.365013	-370.050934	1013.952881	-10.725516	-353.648987	967.430115	43.165043	-348.227264	968.878296	38.413345	-287.354034	866.478638	197.996201	-717.753479	1324.452148	170.157745	-732.528137	1308.764038	230.222366	-669.375854	1326.144043	132.959885	-723.032593	1274.161865	195.365631	-660.611755	1290.624756
54	0.5300	14.094662	-375.728455	1012.283569	70.375114	-370.047516	1013.964172	-10.716387	-353.644287	967.445007	43.173878	-348.220367	968.891968	38.418781	-287.348145	866.483887	198.821518	-715.298401	1323.920776	170.948303	-730.031006	1308.250122	231.166245	-666.987244	1325.554443	133.774109	-720.490845	1273.637451	196.332153	-658.192261	1290.026367
55	0.5400	14.104425	-375.723145	1012.297607	70.385086	-370.044067	1013.975342	-10.707382	-353.639587	967.459656	43.182564	-348.213470	968.905396	38.424107	-287.342316	866.488892	199.652176	-712.817139	1323.377441	171.744003	-727.504150	1307.728516	232.114761	-664.577148	1324.948486	134.593323	-717.921753	1273.103027	197.303101	-655.751099	1289.407715
56	0.5500	14.114088	-375.717773	1012.311462	70.394928	-370.040527	1013.986328	-10.698504	-353.634857	967.474121	43.191105	-348.206604	968.918579	38.429325	-287.336517	866.493713	200.489044	-710.312134	1322.821655	172.545609	-724.950317	1307.198486	233.068298	-662.147522	1324.324829	135.418121	-715.328857	1272.558228	198.278275	-653.290771	1288.767456
57	0.5600	14.123649	-375.712372	1012.325195	70.404640	-370.036957	1013.997192	-10.689753	-353.630066	967.488281	43.199497	-348.199707	968.931580	38.434433	-287.330780	866.498352	201.332672	-707.785889	1322.252197	173.353729	-722.372559	1306.658813	234.026917	-659.700378	1323.681519	136.248901	-712.715820	1272.002075	199.257309	-650.813477	1288.104004
58	0.5700	14.133108	-375.706940	1012.338684	70.414230	-370.033325	1014.007874	-10.681128	-353.625244	967.502258	43.207745	-348.192841	968.944336	38.439434	-287.325073	866.502747	202.183319	-705.241394	1321.667480	174.168671	-719.774353	1306.107666	234.990387	-657.237488	1323.016968	137.085907	-710.086914	1271.432861	200.239685	-648.321594	1287.415894
59	0.5800	14.142466	-375.701477	1012.351990	70.423691	-370.029663	1014.018311	-10.672630	-353.620422	967.515991	43.215839	-348.185944	968.956848	38.444324	-287.319427	866.506958	203.040924	-702.681641	1321.065186	174.990448	-717.159546	1305.542358	235.958252	-654.760803	1322.328857	137.929169	-707.446411	1270.848267	201.224716	-645.817139	1286.701294
60	0.5900	14.151720	-375.695984	1012.365112	70.433029	-370.025940	1014.028687	-10.664259	-353.615540	967.529480	43.223793	-348.179077	968.969116	38.449108	-287.313812	866.510986	203.905121	-700.109802	1320.443115	175.818832	-714.532349	1304.960083	236.929779	-652.272034	1321.615356	138.778427	-704.798706	1270.245483	202.211578	-643.302185	1285.958740
61	0.6000	14.160872	-375.690491	1012.378052	70.442230	-370.022156	1014.038818	-10.656015	-353.610626	967.542725	43.231594	-348.172180	968.981140	38.453785	-287.308258	866.514771	204.775284	-697.529053	1319.798462	176.653366	-711.896790	1304.357178	237.903992	-649.772888	1320.873901	139.633255	-702.148254	1269.621582	203.199280	-640.778564	1285.186279
62	0.6100	14.169919	-375.684937	1012.390747	70.451302	-370.018311	1014.048828	-10.647900	-353.605682	967.555786	43.239250	-348.165314	968.992981	38.458351	-287.302765	866.518433	205.650528	-694.942444	1319.128418	177.493332	-709.257141	1303.730225	238.879776	-647.264832	1320.102417	140.492920	-699.499390	1268.973022	204.186707	-638.248108	1284.382324
