Trajectories
100
		head:TopLeft			head:TopRight			head:BottomLeft			head:BottomRight			head:Whole			head:Brow			head:Tip			head:StickTopLeft			head:StickTopRight			head:StickBottomLeft			head:StickBottomRight			head:StickEnd			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
53	0	-34.975014	-340.883362	1007.694458	21.163668	-344.786835	1010.759827	-54.594437	-313.479279	963.486145	-0.794445	-317.250153	966.324280				7.404425	-253.137344	865.650330	169.464279	-390.488098	1234.394897	187.493896	-406.180298	1208.857300	123.942146	-355.739319	1244.967407	187.748795	-413.646423	1157.846802	125.016365	-361.301453	1195.008545			
54	0	-34.976391	-340.883148	1007.694458	21.162176	-344.786316	1010.759827	-54.595650	-313.478058	963.486511	-0.795647	-317.249939	966.324097				7.403810	-253.137207	865.650391	169.258118	-390.518677	1234.412720	187.294998	-406.223450	1208.882690	123.743065	-355.744080	1244.959229	187.577438	-413.691345	1157.871460	124.850243	-361.318085	1195.006104			
55	0	-34.977772	-340.882935	1007.694458	21.160675	-344.785736	1010.759949	-54.596874	-313.476868	963.486877	-0.796858	-317.249756	966.323914				7.403189	-253.137054	865.650452	169.074677	-390.528259	1234.426514	187.117523	-406.249329	1208.904053	123.566734	-355.727814	1244.947876	187.422409	-413.728241	1157.891113	124.703011	-361.322479	1195.000610			
56	0	-34.979160	-340.882721	1007.694458	21.159164	-344.785278	1010.759949	-54.598103	-313.475677	963.487183	-0.798079	-317.249573	966.323730				7.402563	-253.136932	865.650513	168.914642	-390.517059	1234.436279	186.961868	-406.257690	1208.920898	123.413834	-355.691010	1244.933228	187.283615	-413.756439	1157.905884	124.574684	-361.314545	1194.991943			
57	0	-34.980564	-340.882507	1007.694580	21.157644	-344.784729	1010.759949	-54.599350	-313.474518	963.487549	-0.799311	-317.249390	966.323608				7.401930	-253.136810	865.650574	168.778564	-390.485809	1234.442017	186.828354	-406.248901	1208.933472	123.284859	-355.634796	1244.915649	187.160950	-413.775513	1157.916260	124.465111	-361.294281	1194.980225			
58	0	-34.981979	-340.882324	1007.694580	21.156115	-344.784271	1010.760071	-54.600605	-313.473358	963.487976	-0.800552	-317.249176	966.323425				7.401291	-253.136688	865.650635	168.666687	-390.435913	1234.443481	186.717026	-406.223633	1208.941406	123.180107	-355.560638	1244.894897	187.054062	-413.785217	1157.922119	124.374008	-361.262146	1194.965820			
59	0	-34.983402	-340.882172	1007.694580	21.154577	-344.783813	1010.760071	-54.601871	-313.472198	963.488342	-0.801802	-317.249023	966.323242				7.400646	-253.136581	865.650696	168.578979	-390.368835	1234.440552	186.627625	-406.183044	1208.944824	123.099503	-355.470367	1244.871338	186.962524	-413.785553	1157.923828	124.300911	-361.218750	1194.948853			
60	0	-34.984837	-340.882019	1007.694580	21.153027	-344.783325	1010.760193	-54.603146	-313.471069	963.488647	-0.803063	-317.248871	966.322998				7.399995	-253.136490	865.650757	168.515030	-390.286713	1234.433472	186.559677	-406.128510	1208.943115	123.042671	-355.366211	1244.845215	186.885757	-413.776642	1157.921265	124.245148	-361.164978	1194.929443			
61	0	-34.986282	-340.881897	1007.694580	21.151472	-344.782898	1010.760193	-54.604431	-313.469971	963.489014	-0.804334	-317.248749	966.322815				7.399339	-253.136368	865.650818	168.474014	-390.191650	1234.421753	186.512314	-406.061523	1208.936646	123.008789	-355.250519	1244.816650	186.823013	-413.758759	1157.915161	124.205841	-361.101898	1194.907959			
62	0	-34.987740	-340.881775	1007.694580	21.149904	-344.782440	1010.760193	-54.605724	-313.468872	963.489380	-0.805614	-317.248627	966.322632				7.398675	-253.136307	865.650940	168.454803	-390.085999	1234.405884	186.484375	-405.984009	1208.925659	122.996666	-355.125732	1244.785889	186.773422	-413.732330	1157.905273	124.181915	-361.030548	1194.884277			
63	0	-34.989204	-340.881653	1007.694580	21.148327	-344.782043	1010.760315	-54.607029	-313.467834	963.489624	-0.806904	-317.248505	966.322510				7.398007	-253.136215	865.651062	168.455719	-389.972137	1234.385864	186.474380	-405.897766	1208.909912	123.004684	-354.994415	1244.753540	186.735947	-413.697906	1157.892090	124.172096	-360.952209	1194.859131			
64	0	-34.990685	-340.881561	1007.694580	21.146742	-344.781677	1010.760315	-54.608353	-313.466766	963.489990	-0.808203	-317.248413	966.322388				7.397333	-253.136154	865.651184	168.474838	-389.852661	1234.362061	186.480545	-405.804688	1208.889893	123.030823	-354.859039	1244.719482	186.709488	-413.656128	1157.875977	124.174927	-360.868134	1194.832642			
65	0	-34.992165	-340.881470	1007.694580	21.145149	-344.781281	1010.760437	-54.609676	-313.465698	963.490356	-0.809513	-317.248322	966.322205				7.396652	-253.136063	865.651245	168.509842	-389.729858	1234.334961	186.500839	-405.706726	1208.865845	123.072784	-354.722015	1244.684326	186.692825	-413.607605	1157.857178	124.188789	-360.779541	1194.805176			
66	0	-34.993664	-340.881409	1007.694580	21.143547	-344.780884	1010.760437	-54.611012	-313.464661	963.490662	-0.810832	-317.248230	966.322021				7.395966	-253.136002	865.651367	168.558121	-389.605957	1234.304932	186.532990	-405.605774	1208.838379	123.127930	-354.585632	1244.648560	186.684616	-413.553131	1157.836182	124.211945	-360.687714	1194.776733			
